Mean,Time
58.20453387,6041.961819
57.34753784,6041.975432
58.60001347,6041.982072
59.13970707,6042.030212
58.69164156,6042.072377
59.46235865,6042.122842
59.76014515,6042.220784
56.81341834,6042.235392
59.5551989,6042.239708
59.02970445,6042.333665
59.77310461,6042.369522
61.80268359,6042.39409
61.18293775,6042.410691
60.76795506,6042.433599
66.15282104,6042.594622
68.62443178,6042.634462
70.30072303,6042.655046
73.51929785,6042.680943
72.65708169,6042.689243
72.86979033,6042.729416
72.99435632,6042.88081
73.05465676,6042.951195
66.68596369,6042.98838
64.7723619,6043.00664
66.11935193,6043.083001
62.94075521,6043.150398
61.09238999,6043.156375
62.54086405,6043.162019
68.55574305,6043.263944
65.97872471,6043.275232
66.35968875,6043.321713
53.7771868,6043.361886
49.61727936,6043.366534
51.230928,6043.386122
51.36756826,6043.422975
53.85658616,6043.454183
58.76281404,6043.458499
66.41869268,6043.482736
71.86448215,6043.528552
69.7582666,6043.711487
69.23778847,6043.721448
65.35288512,6043.734064
57.5363543,6043.770252
62.56492858,6043.797809
63.45359871,6043.856574
65.1956018,6043.878818
63.99588449,6043.916335
65.19228849,6043.923307
67.09934082,6043.945219
64.31989698,6043.950199
51.50311213,6044.000332
52.67507245,6044.055113
52.38661816,6044.075697
59.42327532,6044.108898
60.40622639,6044.118194
60.38900158,6044.138446
60.40982878,6044.173971
59.51273193,6044.214143
58.43400108,6044.216135
62.48990353,6044.222444
55.14837197,6044.377158
58.82159903,6044.389774
68.15525481,6044.416003
66.96179172,6044.453851
69.27581659,6044.633134
68.29591021,6044.64575
66.32196815,6044.888114
64.72973948,6044.952855
64.67644287,6044.983732
64.37170175,6044.993692
62.09100561,6045.021248
69.24767578,6045.137782
67.21420523,6045.141102
66.53094727,6045.15405
63.95403888,6045.162351
68.13234043,6045.174635
68.22637807,6045.25664
67.48469238,6045.284197
63.13390323,6045.299801
69.00515561,6045.333665
73.91042969,6045.341301
64.72015506,6045.351262
63.92416313,6045.422311
70.36966814,6045.454515
52.56195312,6045.463811
53.60737462,6045.478752
57.72300647,6045.489044
50.15763463,6045.498672
55.76707286,6045.505644
67.12303891,6045.51328
64.46869487,6045.575365
67.8695369,6045.585657
71.56796961,6045.617198
71.62229276,6045.654714
71.59591187,6045.726096
69.86561454,6045.752656
71.71701234,6045.759628
71.8638778,6045.862218
67.35709592,6046.037849
68.00843409,6046.069057
74.10222298,6046.131806
